# x y vx vy theta radius
15.364231 2.3592836 -1.7980557 0.4095734 4.3812125 0.5
5.2009691 20.084314 0.060744622 0.019192359 1.764168 0.5
24.784275 21.806324 0.00080335423 -0.0051535017 3.951996 0.5
2.5634588 13.454184 0.039935295 0.0084262736 4.259518 0.5
1.3648558 10.092935 -0.048793158 -0.06998419 1.882067 0.5
6.5203831 11.992611 0.037510678 0.022134116 0.92276 0.5
5.4228467 10.896714 -0.0055447894 0.14969543 4.981497 0.5
23.966556 19.199082 -0.0079728653 0.0031330457 0.663689 0.5
19.78695 2.0865984 -0.055681284 -0.035663026 4.599871 0.5
11.528236 19.697624 -0.039289397 0.0091496202 3.315122 0.5
11.194727 18.604584 0.040866502 -0.025849861 5.224588 0.5
16.590068 21.243686 0.059401052 0.015377624 4.739779 0.5
24.496012 16.682549 -0.0063379358 -0.012012914 0.624425 0.5
14.731474 19.41514 0.015741839 0.091490909 0.734434 0.5
13.370323 2.5330322 0.015103193 -0.067375396 4.989084 0.5
8.6704759 19.336976 -0.056015833 0.03410759 2.508867 0.5
14.582525 24.286049 -0.079436206 0.034469124 5.939565 0.5
11.458541 5.8711717 0.030203762 -0.0068760926 0.028815 0.5
25.527993 13.54887 0.032568882 0.031073878 3.449449 0.5
9.0323331 23.615801 -0.10519315 0.042533677 0.592282 0.5
19.596745 12.589989 -0.062453379 -0.035290426 6.045768 0.5
12.350464 24.995878 0.0096823301 0.024761533 0.890473 0.5
10.920964 7.5323972 0.080673236 0.027111298 2.353219 0.5
14.85031 26.333803 -0.0034495205 0.022729502 1.672869 0.5
21.385864 8.4556883 0.0093295268 -0.0089069885 4.21507 0.5
23.161796 20.094842 0.0011547914 0.0025360281 0.4829 0.5
20.304496 24.533497 -0.013172229 0.0030607105 6.274711 0.5
20.168733 10.824023 -0.034028195 -0.012738458 1.301021 0.5
22.725965 11.150132 0.064004905 -0.001088323 3.538852 0.5
26.456275 14.342977 0.00096028884 -0.0083798338 1.72413 0.5
12.272083 0.67566543 0.039018944 0.073721716 0.779811 0.5
15.355882 13.972933 -0.02029604 0.013596642 1.209651 0.5
25.935027 16.094478 0.01427077 -0.009793674 5.377079 0.5
22.06904 6.8740262 0.0040160454 -0.013813585 3.122843 0.5
11.534084 17.20562 -0.024188769 0.036328789 4.105439 0.5
23.035581 21.739976 0.056661884 0.071883515 2.246795 0.5
24.626628 8.4266203 -0.03698944 -0.0039103406 3.468535 0.5
13.885053 23.412876 0.0098446455 0.032811719 5.532293 0.5
7.7184772 12.319985 0.00058765721 0.10687424 0.531572 0.5
13.586606 10.219042 0.034313957 0.017015614 5.261584 0.5
22.188916 20.908603 -0.02980708 0.028465445 0.040113 0.5
15.650047 5.6080421 0.048673426 0.020402216 4.576591 0.5
17.168141 25.912966 -0.0093871431 0.012310161 0.209824 0.5
10.41437 11.743973 0.13879603 -0.03181697 1.770879 0.5
3.4932581 17.016228 -0.048686385 0.080647888 4.791815 0.5
15.953635 22.265976 0.01603939 0.002616361 2.522673 0.5
