# x y vx vy theta radius
15.747176 9.3204087 -0.22191842 0.17805313 2.4470945 0.5
21.295088 14.900849 0 0 1.764168 0.5
1.4764123 18.868107 0 0 3.951996 0.5
14.084618 2.6881569 -4.9521041e-08 1.5571664e-07 4.259518 0.5
22.270941 15.547041 0 0 1.882067 0.5
25.37137 15.311629 2.7204655e-08 1.2234854e-07 0.92276 0.5
23.799683 8.0317281 -5.8969509e-08 1.0541533e-07 4.981497 0.5
14.844019 3.8082843 1.4736629e-10 -9.458343e-11 0.663689 0.5
21.162269 3.8520536 1.0652923e-07 -1.8268673e-08 4.599871 0.5
3.412302 18.937694 0 0 3.315122 0.5
11.69833 27.216051 0 0 5.224588 0.5
19.489556 4.1109621 7.6675485e-08 4.6888843e-08 4.739779 0.5
26.894821 10.216529 9.6400394e-08 1.2170293e-07 0.624425 0.5
21.355126 25.247058 0 0 0.734434 0.5
9.7022177 24.661177 0 0 4.989084 0.5
23.526777 12.897152 -1.2596809e-08 1.3033469e-08 2.508867 0.5
24.296454 9.0388501 -2.4897925e-08 3.4767835e-08 5.939565 0.5
11.048439 5.1665714 0 0 0.028815 0.5
23.330345 15.166047 0 0 3.449449 0.5
24.09655 21.17903 0 0 0.592282 0.5
0.67144048 12.298812 0 0 6.045768 0.5
0.57812069 13.421209 0 0 0.890473 0.5
3.9778905 9.1160607 0 0 2.353219 0.5
10.465643 1.0362291 1.669577e-08 5.0522281e-08 1.672869 0.5
6.4449117 4.4147249 0 0 4.21507 0.5
18.251323 20.236748 0 0 0.4829 0.5
7.6771014 23.438768 0 0 6.274711 0.5
8.3179969 1.8243725 0 0 1.301021 0.5
13.238034 5.3123377 0 0 3.538852 0.5
5.4756698 3.6535171 0 0 1.72413 0.5
27.128799 16.802813 0 0 0.779811 0.5
25.458073 6.9794596 -9.8575945e-10 -1.2142139e-07 1.209651 0.5
5.1773482 21.462071 0 0 5.377079 0.5
11.450325 4.0010418 -4.2687126e-10 5.7688898e-10 3.122843 0.5
6.7592261 22.76609 0 0 4.105439 0.5
