# x y vx vy theta radius
23.157033 18.986696 -0.46466076 0.43475298 2.9079623 0.5
21.094455 22.797647 -0.0078258973 0.0058645209 1.764168 0.5
5.5853825 10.208014 0 0 3.951996 0.5
11.4002 2.4679828 -5.2377884e-08 2.526379e-07 4.259518 0.5
7.2556802 13.137116 0 0 1.882067 0.5
25.107166 12.857515 -5.752064e-13 -9.5624804e-14 0.92276 0.5
23.95617 6.7028142 -1.1905019e-09 -1.6006986e-09 4.981497 0.5
15.221766 5.9044435 0 0 0.663689 0.5
21.113892 2.5991551 5.2199167e-08 -7.2552201e-09 4.599871 0.5
0.69378527 15.840856 0 0 3.315122 0.5
15.443349 27.348999 0 0 5.224588 0.5
19.683938 4.1701372 -1.134647e-08 1.4062594e-08 4.739779 0.5
26.650868 9.468036 4.1711885e-08 7.8673919e-08 0.624425 0.5
21.208818 23.974794 0 0 0.734434 0.5
13.066898 24.335245 0 0 4.989084 0.5
21.890054 10.609578 0 0 2.508867 0.5
20.571987 7.0316006 1.6994662e-09 1.4888241e-08 5.939565 0.5
2.3801651 18.390437 0 0 0.028815 0.5
8.1568457 12.381351 0 0 3.449449 0.5
18.220797 24.692467 0 0 0.592282 0.5
1.2050086 18.051643 0 0 6.045768 0.5
0.92565689 16.960723 0 0 0.890473 0.5
8.6876275 5.5460099 0 0 2.353219 0.5
7.1844096 3.7738177 0 0 1.672869 0.5
3.2338499 5.9606281 0 0 4.21507 0.5
3.6659355 18.637012 0 0 0.4829 0.5
4.7790417 19.181964 0 0 6.274711 0.5
8.4466118 1.7628058 -1.9163312e-07 9.0254988e-08 1.301021 0.5
16.036487 7.231094 0 0 3.538852 0.5
3.9541377 5.0745016 -1.7680955e-08 3.8639624e-08 1.72413 0.5
26.638442 18.080311 -5.2627623e-06 -2.7971035e-06 0.779811 0.5
25.1238 6.474566 1.5261079e-08 3.8179713e-08 1.209651 0.5
7.1471028 25.255992 0 0 5.377079 0.5
18.121303 10.877981 0 0 3.122843 0.5
3.0287374 13.354873 0 0 4.105439 0.5
6.7700223 6.7178208 0 0 2.246795 0.5
19.60716 3.0403306 0 0 3.468535 0.5
3.9350199 12.676874 0 0 5.532293 0.5
3.8138662 7.0823402 6.6770372e-09 1.9708255e-09 0.531572 0.5
20.671782 3.6315473 -3.7422812e-08 1.5603874e-08 5.261584 0.5
23.718867 4.7245426 8.5409316e-08 5.6479089e-08 0.040113 0.5
23.147501 9.1812829 0 0 4.576591 0.5
22.910478 3.9449864 9.280778e-09 -2.2113055e-08 0.209824 0.5
20.615088 4.7994039 -9.3948962e-10 3.8250205e-10 1.770879 0.5
26.224339 8.4294799 3.6113104e-08 4.5654416e-08 4.791815 0.5
25.531813 9.6691083 -1.0519859e-08 9.7453362e-09 2.522673 0.5
21.992876 22.125065 0.0043922309 0.0028135498 3.232151 0.5
9.3494028 18.324599 0 0 0.943125 0.5
22.861854 24.100896 -0.014128958 -0.015260949 1.031271 0.5
9.1362449 3.7048404 0 0 1.523797 0.5
11.248195 26.474901 0 0 1.787492 0.5
16.524629 3.017424 1.402928e-08 2.9667303e-09 3.056837 0.5
1.6299004 15.113787 0 0 3.332967 0.5
18.08602 25.837082 0 0 3.889918 0.5
13.658661 19.980642 0 0 1.775857 0.5
24.721473 10.506755 0 0 4.33857 0.5
3.0743104 7.9267948 -2.3496777e-08 2.6830073e-08 2.652322 0.5
22.295271 6.300566 -7.1298709e-10 -1.241316e-09 1.360759 0.5
15.864557 0.69239536 -7.1922928e-08 -6.454579e-08 1.350476 0.5
9.4046879 11.745815 0 0 3.139709 0.5
15.84329 26.293671 0 0 3.877928 0.5
16.015761 25.15014 0 0 4.111005 0.5
20.1871 24.710685 0 0 4.354529 0.5
9.2646954 2.5507715 0 0 1.958136 0.5
18.385767 6.7671709 -6.2276217e-09 3.5725602e-09 1.935129 0.5
21.67236 7.2603091 0 0 0.983243 0.5
1.7436831 12.192831 0 0 4.524452 0.5
4.770497 9.4176337 0 0 4.628506 0.5
10.16916 26.86783 0 0 4.619789 0.5
0.58031422 14.714355 0 0 6.246698 0.5
14.849765 4.7064278 0 0 2.597917 0.5
13.496839 1.6843611 -6.9887815e-09 8.4633112e-08 5.540445 0.5
2.629439 8.9588761 0 0 1.135786 0.5
20.067058 25.974958 0 0 0.649744 0.5
0.83081412 11.359873 0 0 4.647872 0.5
5.1666129 5.3086234 -6.7714087e-09 1.4873954e-08 3.116928 0.5
14.820148 7.2057705 0 0 1.058365 0.5
3.0200637 16.500715 0 0 1.223223 0.5
22.85461 7.2748248 -2.9514688e-10 8.0577408e-11 6.185729 0.5
16.439139 1.890572 -2.7149189e-09 -7.1914973e-10 5.03693 0.5
7.4387879 11.453934 0 0 0.158334 0.5
0.568781 13.588829 0 0 0.09489 0.5
21.053104 25.431773 0 0 3.182579 0.5
9.4875411 1.3417063 2.5567341e-08 -2.242823e-08 5.999337 0.5
1.7759105 16.22723 0 0 0.712677 0.5
17.524185 2.179179 -2.2700636e-09 9.4669045e-09 1.70588 0.5
3.3562202 20.406989 0 0 5.092516 0.5
2.0766712 17.309596 0 0 0.506989 0.5
10.561606 1.011027 1.5173282e-08 -5.4751199e-08 4.452103 0.5
8.4180378 24.42727 0 0 3.429354 0.5
20.348033 9.2710391 0 0 5.942963 0.5
3.9575456 21.362109 0 0 2.062723 0.5
19.023075 26.455309 0 0 2.598321 0.5
5.4728331 6.5283429 0 0 6.159219 0.5
6.5438241 8.5757036 0 0 1.488917 0.5
2.7948045 19.434071 0 0 1.927238 0.5
23.8349 21.416199 0 0 3.98558 0.5
