# x y vx vy theta radius
19.535588 13.528415 0.22648341 -0.74119098 4.2721206 0.5
11.157797 14.101249 0 0 1.764168 0.5
2.6539094 19.192079 0 0 3.951996 0.5
1.6848938 14.829358 0 0 4.259518 0.5
1.9173778 8.11751 0 0 1.882067 0.5
27.434723 13.67605 -7.1921343e-07 3.1345821e-05 0.92276 0.5
25.017398 8.2851977 -2.400119e-06 -1.0758117e-05 4.981497 0.5
5.7537518 10.354881 0 0 0.663689 0.5
4.5802677 10.182087 0 0 4.599871 0.5
5.4369083 6.5175005 0 0 3.315122 0.5
25.248103 13.636412 -3.3415512e-13 -1.6497555e-12 5.224588 0.5
22.593821 3.6821442 -7.4056233e-06 -6.6281508e-06 4.739779 0.5
10.722674 3.1056935 0 0 0.624425 0.5
19.700921 23.670101 0 0 0.734434 0.5
26.337589 14.020567 0 0 4.989084 0.5
11.212018 24.885405 0 0 2.508867 0.5
19.654887 1.8109576 3.4678149e-12 -3.0336208e-12 5.939565 0.5
3.3966689 18.189758 0 0 0.028815 0.5
10.706849 1.0074812 0 0 3.449449 0.5
5.5662602 8.1484643 0 0 0.592282 0.5
3.8396108 21.096111 0 0 6.045768 0.5
6.6981604 17.453904 0 0 0.890473 0.5
4.7252633 7.385686 0 0 2.353219 0.5
17.574278 2.1630009 -3.4341445e-07 2.9782878e-08 1.672869 0.5
1.4687835 9.1464406 0 0 4.21507 0.5
4.9052005 18.936181 0 0 0.4829 0.5
6.4906629 25.138342 0 0 6.274711 0.5
20.299901 3.8753851 4.2928887e-06 3.2986473e-08 1.301021 0.5
11.966094 0.72777298 0 0 3.538852 0.5
3.5580332 7.3103742 0 0 1.72413 0.5
23.911014 21.25263 0 0 0.779811 0.5
5.8238489 23.37342 0 0 1.209651 0.5
8.4546383 26.23297 0 0 5.377079 0.5
20.751324 25.604419 0 0 3.122843 0.5
4.4601028 20.152174 0 0 4.105439 0.5
3.9869783 15.691502 0 0 2.246795 0.5
5.3519187 3.7136068 0 0 3.468535 0.5
13.46709 25.124105 0 0 5.532293 0.5
2.7989105 13.758733 0 0 0.531572 0.5
3.8856314 14.572714 0 0 5.261584 0.5
21.126403 9.5893205 -1.1793063e-05 -2.2047919e-05 0.040113 0.5
12.029078 2.9941909 0 0 4.576591 0.5
12.543468 26.298244 0 0 0.209824 0.5
21.959428 13.343169 6.851897e-07 8.7864471e-07 1.770879 0.5
24.345618 9.1861925 -1.6608299e-05 3.5133002e-06 4.791815 0.5
24.275832 5.3546059 0 0 2.522673 0.5
27.273771 16.011374 5.1334171e-05 6.1634385e-06 3.232151 0.5
6.2801854 22.34241 0 0 0.943125 0.5
19.649304 24.951595 0 0 1.031271 0.5
2.5767448 9.3275633 0 0 1.523797 0.5
11.745468 27.221355 0 0 1.787492 0.5
10.978413 10.283877 0 0 3.056837 0.5
1.7862142 15.947287 0 0 3.332967 0.5
11.437655 26.105586 0 0 3.889918 0.5
18.561772 26.319928 0 0 1.775857 0.5
25.611862 7.2364297 4.1102545e-06 1.4888742e-05 4.33857 0.5
0.83566554 11.29821 0 0 2.652322 0.5
22.597412 10.51259 -1.9361921e-05 2.9171822e-07 1.360759 0.5
13.087401 0.6218855 -2.5924966e-11 8.5891377e-13 1.350476 0.5
4.1474126 8.3482322 0 0 3.139709 0.5
13.402849 2.5011056 0 0 3.877928 0.5
9.9013121 23.386027 0 0 4.111005 0.5
25.293731 21.245279 0 0 4.354529 0.5
3.7546592 5.3032828 0 0 1.958136 0.5
26.576321 9.2787636 -7.3228066e-07 -4.4741964e-06 1.935129 0.5
24.230004 13.09118 1.0724232e-12 5.8739154e-12 0.983243 0.5
1.5344958 19.01688 0 0 4.524452 0.5
7.2494643 2.5346703 0 0 4.628506 0.5
6.1981574 11.438297 0 0 4.619789 0.5
2.8063126 14.881968 0 0 6.246698 0.5
6.2407704 3.0278039 0 0 2.597917 0.5
19.685065 2.9346401 8.7864326e-06 -1.5089106e-05 5.540445 0.5
1.763919 12.587477 0 0 1.135786 0.5
7.8886253 23.894722 0 0 0.649744 0.5
5.0270181 12.899019 0 0 4.647872 0.5
11.544489 1.944886 0 0 3.116928 0.5
25.229157 12.501975 2.9758423e-12 -1.5833628e-12 1.058365 0.5
7.51698 21.883751 0 0 1.223223 0.5
7.1588074 5.0709469 0 0 6.185729 0.5
7.6856623 3.6998802 0 0 5.03693 0.5
5.0887142 15.943817 0 0 0.158334 0.5
1.9434005 11.479446 0 0 0.09489 0.5
25.868991 20.253291 0 0 3.182579 0.5
7.3314184 11.501333 0 0 5.999337 0.5
7.113185 6.4981572 0 0 0.712677 0.5
24.988382 11.396301 1.4327722e-05 9.7918164e-06 1.70588 0.5
2.2663752 18.138517 0 0 5.092516 0.5
0.87289397 16.871226 0 0 0.506989 0.5
9.1226085 4.1677753 0 0 4.452103 0.5
26.931675 10.345169 -7.033015e-06 -2.9598558e-06 3.429354 0.5
9.2855099 25.46156 0 0 5.942963 0.5
22.224997 9.33621 9.6765279e-06 -7.1410828e-06 2.062723 0.5
12.884923 27.378571 0 0 2.598321 0.5
3.0254465 8.2985128 0 0 6.159219 0.5
15.348616 1.8276935 -3.0204486e-11 -1.5170631e-12 1.488917 0.5
0.57709653 14.647844 0 0 1.927238 0.5
23.746085 10.773568 -2.9212143e-05 1.3792871e-05 3.98558 0.5
23.929289 23.053475 0 0 3.515453 0.5
27.19217 11.437858 -7.1498498e-06 -3.5487611e-06 3.362574 0.5
11.04888 23.714925 0 0 2.617045 0.5
19.150061 15.787872 -2.0039374e-12 1.9110816e-12 4.416501 0.5
21.798967 7.5519074 -1.9161071e-07 -3.4061281e-07 2.357123 0.5
12.302204 25.1882 0 0 0.027213 0.5
26.139325 8.2418146 2.0393148e-05 7.4912148e-07 3.270335 0.5
10.282442 22.296253 0 0 5.133302 0.5
6.204223 9.1285307 0 0 4.163048 0.5
20.363323 10.444964 -1.5051935e-05 1.3335024e-05 3.93618 0.5
22.54085 21.126449 0 0 5.951127 0.5
21.128784 8.4597041 -4.3117459e-08 -2.4880757e-05 4.082451 0.5
18.256463 12.308191 -1.9556487e-07 -8.992721e-08 1.780305 0.5
24.974859 6.2455284 0 0 2.847882 0.5
18.615301 1.3795565 -4.7216132e-12 -3.9231866e-12 1.767937 0.5
0.65608611 12.406216 0 0 0.00135 0.5
6.2336058 13.986005 0 0 5.312468 0.5
24.770834 10.294921 -1.1692625e-05 1.8843728e-05 0.320289 0.5
7.2367009 22.979 0 0 0.581132 0.5
7.4504535 25.730564 0 0 3.087421 0.5
16.477491 1.9128108 6.3747957e-12 -1.0100716e-12 3.560403 0.5
3.0642164 6.1898096 0 0 0.555117 0.5
0.67834367 15.76574 0 0 6.220608 0.5
5.5824237 24.474035 0 0 5.652715 0.5
23.118691 5.5157059 -4.2794198e-06 -5.7093919e-06 0.827952 0.5
20.501362 11.644837 -3.1339228e-05 1.3041456e-05 1.054048 0.5
3.1027538 17.105496 0 0 0.319962 0.5
9.5039692 26.664224 0 0 2.464344 0.5
24.614188 20.324233 0 0 3.780782 0.5
8.8310415 15.189079 0 0 0.745414 0.5
23.039491 13.904113 -5.0777906e-06 2.9656911e-06 3.348875 0.5
11.708386 22.722025 0 0 5.365761 0.5
5.0418164 9.1554817 0 0 0.445642 0.5
4.9021918 21.458302 0 0 2.979068 0.5
23.769311 6.4306764 -5.0717565e-06 -2.4622932e-06 2.813895 0.5
1.1586527 17.956814 0 0 4.039246 0.5
19.698489 26.092905 0 0 4.602055 0.5
26.111698 11.77593 1.3921517e-12 -2.2652501e-12 1.676583 0.5
10.257173 14.858558 0 0 1.207935 0.5
22.917734 7.1626872 -2.09267e-06 2.1061953e-06 6.164191 0.5
16.450933 0.78727059 -6.5542318e-08 -1.521173e-08 1.491784 0.5
15.338361 0.628077 -1.6227238e-11 -3.253675e-12 6.269379 0.5
21.537888 10.949165 -6.3818194e-06 -5.4073277e-06 0.35856 0.5
4.8598973 14.01286 0 0 0.326238 0.5
24.298351 14.268787 -6.8846894e-07 -8.7409973e-06 1.608548 0.5
13.702949 26.273624 0 0 2.616667 0.5
19.201109 10.053335 -4.7379799e-05 1.752286e-05 0.410672 0.5
6.2685342 7.2715926 0 0 3.210668 0.5
22.633681 24.295628 0 0 0.309541 0.5
17.838078 8.6148551 -2.444819e-05 -7.4105171e-06 1.761874 0.5
20.666366 4.9409548 9.0214047e-12 2.9485741e-11 4.731547 0.5
3.820547 19.229264 0 0 0.313065 0.5
27.051405 17.129492 -5.5638238e-06 3.2248227e-05 0.087229 0.5
13.221008 23.606216 0 0 5.713071 0.5
21.736303 24.987547 0 0 0.34983 0.5
1.9807566 17.052991 0 0 2.015368 0.5
6.6044397 15.334586 0 0 0.42176 0.5
19.010638 11.182355 -4.1606302e-07 -2.1941947e-08 5.580866 0.5
4.172017 6.3707152 0 0 4.066321 0.5
19.343905 4.4734124 -3.0926371e-05 1.9322456e-05 5.863794 0.5
2.8853531 12.639188 0 0 5.355125 0.5
10.594547 11.355008 0 0 5.404824 0.5
4.4971057 17.881718 0 0 1.361005 0.5
14.75233 2.9714851 0 0 5.19755 0.5
10.110803 24.531211 0 0 5.853071 0.5
1.6775942 13.706894 0 0 2.830697 0.5
24.48731 7.2940159 -1.5309171e-06 8.6360673e-06 3.251414 0.5
23.124433 12.709973 2.5054098e-06 1.7560027e-05 3.305262 0.5
12.309502 10.105518 0 0 3.841898 0.5
10.383382 25.708652 0 0 4.917041 0.5
11.296775 21.641071 0 0 1.726803 0.5
27.360613 12.555441 -5.6773242e-07 3.8830324e-05 2.534849 0.5
