# x y vx vy theta radius
13.92651 18.647915 -0.37440782 0.20484494 3.6923715 0.5
22.297687 17.953978 0 0 1.764168 0.5
4.0017236 14.167152 0 -2.6895529e-16 3.951996 0.5
17.194835 2.0507905 0 0 4.259518 0.5
3.4683873 9.9908205 1.197267e-15 -1.0138095e-15 1.882067 0.5
24.213985 15.594424 0 0 0.92276 0.5
25.181248 6.5448847 0 0 4.981497 0.5
18.83134 7.5492504 0 0 0.663689 0.5
20.213958 2.0849949 0 0 4.599871 0.5
4.7511266 20.325662 1.402639e-16 5.6181291e-16 3.315122 0.5
14.698167 27.373382 -1.0823086e-14 7.7591115e-16 5.224588 0.5
21.186674 2.645355 0 0 4.739779 0.5
26.682668 9.5561784 0 0 0.624425 0.5
20.29797 23.410835 0 0 0.734434 0.5
14.166535 26.205174 2.4333792e-14 -1.7673913e-14 4.989084 0.5
10.688371 23.206441 7.0714326e-16 -1.8463501e-15 2.508867 0.5
23.088132 9.070388 0 0 5.939565 0.5
8.8038844 22.134562 1.3623594e-15 -1.8160982e-15 0.028815 0.5
9.4093861 23.1287 3.7163238e-16 -2.6784271e-15 3.449449 0.5
3.6970091 13.07711 4.7900761e-16 2.5965861e-16 0.592282 0.5
2.8921612 21.562967 -2.9409407e-15 1.3041119e-14 6.045768 0.5
2.6365075 18.873287 1.2834023e-16 0 0.890473 0.5
7.1636802 2.4385175 0 0 2.353219 0.5
7.0350183 3.8135485 0 0 1.672869 0.5
1.4532958 9.2013882 0 0 4.21507 0.5
8.9239614 26.430563 7.7009653e-16 8.3037685e-15 0.4829 0.5
6.9943636 22.861689 0 -1.4691974e-15 6.274711 0.5
8.2671793 2.2167302 0 0 1.301021 0.5
18.826802 6.4067074 0 0 3.538852 0.5
3.0535426 6.2122588 0 0 1.72413 0.5
26.55928 18.723733 0 0 0.779811 0.5
24.518649 5.6373313 0 0 1.209651 0.5
5.9916221 24.786877 2.5117625e-15 1.3517489e-14 5.377079 0.5
19.33498 24.033111 1.7381001e-15 -2.4384932e-15 3.122843 0.5
5.436186 21.226697 0 6.1784294e-16 4.105439 0.5
2.6602198 9.0145772 0 0 2.246795 0.5
6.7420534 7.0250836 0 0 3.468535 0.5
8.8334045 25.296911 7.8155575e-16 -6.1371502e-16 5.532293 0.5
1.6987451 14.534764 0 -1.0048019e-16 0.531572 0.5
21.745434 7.3020561 0 0 5.261584 0.5
22.977485 3.9998224 0 0 0.040113 0.5
21.061118 10.238938 0 0 4.576591 0.5
21.59171 5.5984107 0 0 0.209824 0.5
24.159141 12.252206 0 0 1.770879 0.5
26.266099 8.5100042 0 0 4.791815 0.5
26.120009 11.318248 0 0 2.522673 0.5
12.397179 25.450582 -5.0817624e-14 -6.9094847e-14 3.232151 0.5
11.42655 26.029173 -2.0524165e-15 7.0968174e-15 0.943125 0.5
22.15623 24.67089 0 0 1.031271 0.5
3.851035 8.9334053 2.3139086e-15 -1.0981749e-15 1.523797 0.5
7.9001215 25.96895 2.1337298e-15 1.2339613e-14 1.787492 0.5
7.8168206 24.702511 4.6005942e-16 -4.1359468e-16 3.056837 0.5
6.1059166 20.315463 4.7539886e-16 0 3.332967 0.5
19.113471 26.424543 2.0217338e-13 1.2140131e-14 3.889918 0.5
15.303322 26.261828 6.1719868e-14 2.320403e-15 1.775857 0.5
25.241699 12.572049 0 0 4.33857 0.5
1.0917323 10.287027 0 0 2.652322 0.5
22.705792 10.832749 0 0 1.360759 0.5
14.268726 0.95414924 0 0 1.350476 0.5
2.9177726 10.970106 -1.6453036e-16 2.7688732e-16 3.139709 0.5
15.823235 27.31397 9.9150988e-14 -7.877513e-15 3.877928 0.5
13.64474 25.176865 4.4991647e-15 -7.7069292e-16 4.111005 0.5
20.22471 24.720335 1.0016433e-15 7.6732502e-16 4.354529 0.5
6.1476753 4.5027804 0 0 1.958136 0.5
24.232288 9.1645302 0 0 1.935129 0.5
23.918652 11.155124 0 0 0.983243 0.5
1.0250574 17.496701 -4.7972733e-15 6.10399e-15 4.524452 0.5
9.2540154 2.7667472 0 0 4.628506 0.5
3.7734635 15.268796 -1.0481965e-15 -9.7177959e-16 4.619789 0.5
5.5368018 17.580142 1.056957e-16 -1.3445643e-16 6.246698 0.5
7.8731045 7.5190103 0 0 2.597917 0.5
19.06974 5.2991216 0 0 5.540445 0.5
3.2506523 12.043903 7.376714e-16 -4.0198394e-16 1.135786 0.5
19.264245 25.304988 5.4100343e-14 -6.4124253e-14 0.649744 0.5
1.8749717 16.761445 -3.248563e-16 -5.5370383e-15 4.647872 0.5
4.4997417 4.4952156 0 0 3.116928 0.5
21.092414 20.846728 0 0 1.058365 0.5
17.060089 15.222659 0 0 1.223223 0.5
23.545503 6.2236188 0 0 6.185729 0.5
15.35244 0.657518 0 0 5.03693 0.5
3.7448981 20.824969 4.2638906e-16 1.1299212e-16 0.158334 0.5
2.8743138 16.247462 1.4868506e-15 -6.509885e-16 0.09489 0.5
20.230098 25.903854 0 0 3.182579 0.5
9.1205833 1.4823195 0 0 5.999337 0.5
3.6551947 18.360196 0 0 0.712677 0.5
17.062718 0.91796164 0 0 1.70588 0.5
5.1716345 22.585253 -1.8765331e-16 3.0327951e-16 5.092516 0.5
4.3640254 17.436304 -3.6659454e-16 2.1870309e-16 0.506989 0.5
10.188696 1.1130934 0 0 4.452103 0.5
18.018244 25.688255 6.8780313e-15 3.0728699e-15 3.429354 0.5
15.815963 15.248989 0 0 5.942963 0.5
5.422998 19.422445 6.6475354e-16 -3.9345315e-16 2.062723 0.5
18.371647 24.621116 -3.7398917e-14 -3.0754594e-14 2.598321 0.5
1.9101311 8.1486823 0 0 6.159219 0.5
5.1544674 7.083275 0 0 1.488917 0.5
3.2161867 17.326279 1.3678597e-15 -5.4065433e-16 1.927238 0.5
24.99854 21.643307 0 0 3.98558 0.5
22.842515 22.600567 0 0 3.515453 0.5
25.467729 18.212912 0 0 3.362574 0.5
13.04551 26.386939 3.9408153e-15 -7.4107316e-14 2.617045 0.5
21.177309 24.117555 0 0 4.416501 0.5
22.78203 5.3311299 0 0 2.357123 0.5
22.159372 9.8205907 0 0 0.027213 0.5
25.36771 13.897064 0 0 3.270335 0.5
23.552068 10.093775 0 0 5.133302 0.5
22.282114 8.2885153 0 0 4.163048 0.5
22.109768 3.285114 0 0 3.93618 0.5
16.935453 27.111324 1.0256392e-13 -3.8734547e-14 5.951127 0.5
23.077742 11.921854 0 0 4.082451 0.5
18.804888 16.484852 0 0 1.780305 0.5
19.029939 3.1948137 0 0 2.847882 0.5
27.438094 14.042765 0 0 1.767937 0.5
0.77596307 11.611304 -1.2583818e-15 -3.6052646e-16 0.00135 0.5
2.2019042 10.103127 0 0 5.312468 0.5
27.244652 11.73413 0 0 0.320289 0.5
1.6537089 15.657872 0 -1.0378359e-15 0.581132 0.5
5.1143913 14.339568 1.1272719e-15 1.7381465e-16 3.087421 0.5
11.284207 0.83987902 0 0 3.560403 0.5
4.8254952 18.465776 2.6650866e-16 0 0.555117 0.5
0.78185948 16.400266 -1.7190534e-14 -7.7490086e-14 6.220608 0.5
4.3053638 23.305953 1.463033e-14 1.0501304e-15 5.652715 0.5
22.936178 7.3689473 0 0 0.827952 0.5
26.434031 13.538918 0 0 1.054048 0.5
2.6524251 15.14474 7.4995824e-16 -3.5145768e-16 0.319962 0.5
12.32019 1.274943 0 0 2.464344 0.5
26.11484 19.767309 0 0 3.780782 0.5
2.5801518 12.956048 1.0560546e-16 -3.0155209e-15 0.745414 0.5
26.43937 14.661804 0 0 3.348875 0.5
27.375057 15.283789 0 0 5.365761 0.5
6.9193859 25.421525 -1.5572845e-15 -1.4185754e-14 0.445642 0.5
11.400553 15.163841 0 0 2.979068 0.5
8.8442434 24.143314 -1.5670567e-13 -3.2675345e-14 2.813895 0.5
2.2113486 17.832335 7.9877973e-16 0 4.039246 0.5
24.357585 14.47957 0 0 4.602055 0.5
19.482806 20.345809 0 0 1.676583 0.5
9.6720596 21.368343 -0.00017351404 2.6292118e-05 1.207935 0.5
6.7739724 17.972081 0 0 6.164191 0.5
23.52112 17.684193 0 0 1.491784 0.5
21.108063 3.8253783 0 0 6.269379 0.5
25.060963 19.375636 0 0 0.35856 0.5
23.738377 8.155208 0 0 0.326238 0.5
21.953063 21.901777 0 0 1.608548 0.5
18.03158 26.814832 1.2217894e-13 -7.141883e-14 2.616667 0.5
19.91755 6.9877125 0 0 0.410672 0.5
21.744356 11.427208 0 0 3.210668 0.5
20.933954 22.374358 0 0 0.309541 0.5
12.171534 12.679841 0 0 1.761874 0.5
2.8676279 14.042576 2.4964813e-15 9.5114509e-16 4.731547 0.5
23.260371 13.076303 0 0 0.313065 0.5
19.75842 18.34224 0 0 0.087229 0.5
23.904007 22.029565 0 0 5.713071 0.5
18.7151 22.801 0 0 0.34983 0.5
9.8868251 25.699213 -6.7699461e-15 -8.1303474e-15 2.015368 0.5
16.071437 25.261629 -7.1484139e-15 -6.4148044e-15 0.42176 0.5
27.162754 16.538988 0 0 5.580866 0.5
3.7400797 5.3232551 0 0 4.066321 0.5
26.327732 15.78575 0 0 5.863794 0.5
8.0626371 3.3528088 0 0 5.355125 0.5
0.56503186 14.100643 0 0 5.404824 0.5
17.886652 3.4173187 0 0 1.361005 0.5
19.198017 1.6072163 0 0 5.19755 0.5
17.89493 23.59659 -1.3693403e-15 -2.9552633e-15 5.853071 0.5
4.4137036 21.727175 2.3136822e-16 4.4246599e-16 2.830697 0.5
21.978772 4.5426379 0 0 3.251414 0.5
23.000242 23.912052 0 0 3.305262 0.5
5.116212 24.082584 -1.6600616e-14 -1.728176e-14 3.841898 0.5
22.158964 12.582154 0 0 4.917041 0.5
13.207615 0.58756916 0 0 1.726803 0.5
24.669457 10.201137 0 0 2.534849 0.5
2.2992068 20.609674 9.6426391e-15 7.1778283e-15 1.985571 0.5
4.5623304 6.0911249 0 0 5.636684 0.5
10.829633 25.067163 -1.9148418e-14 -1.4317537e-13 0.642493 0.5
20.725173 4.8846503 0 0 5.796573 0.5
19.750389 4.3117664 0 0 4.738871 0.5
10.473079 6.2037575 0 0 1.568073 0.5
23.825034 23.150449 0 0 2.749741 0.5
16.107386 1.508557 0 0 1.171823 0.5
5.9825226 23.363172 -2.1130388e-16 -1.1203165e-15 2.226958 0.5
19.781903 22.396677 0 0 1.548545 0.5
