# x y vx vy theta radius
13.653469 20.974882 0.40025126 0.37453011 5.3168303 0.5
22.115392 23.401503 -7.3779323e-15 4.184017e-15 1.764168 0.5
2.7006031 21.273872 0 0 3.951996 0.5
3.622759 15.12249 0 0 4.259518 0.5
1.4434986 9.2184216 0 0 1.882067 0.5
23.082905 17.010607 -7.9314288e-16 -2.6224084e-15 0.92276 0.5
25.206841 12.350368 -1.8075568e-15 8.7156768e-16 4.981497 0.5
22.941441 11.55001 0 0 0.663689 0.5
2.834537 12.052307 0 0 4.599871 0.5
5.9916099 5.8639417 0 0 3.315122 0.5
26.021854 16.656704 2.5256304e-15 -1.899855e-14 5.224588 0.5
17.575922 3.6645938 0 0 4.739779 0.5
24.112805 11.99922 0 0 0.624425 0.5
18.178233 25.968468 -1.6296231e-15 -4.320852e-15 0.734434 0.5
25.333699 18.842291 1.1012459e-15 -1.9170035e-16 4.989084 0.5
13.516559 27.197223 0 0 2.508867 0.5
20.097708 2.0303138 0 0 5.939565 0.5
2.2087298 17.655144 0 0 0.028815 0.5
8.2018327 1.8766641 0 0 3.449449 0.5
10.125921 2.190002 0 0 0.592282 0.5
3.2324872 20.049435 0 0 6.045768 0.5
3.7077579 14.002805 0 0 0.890473 0.5
6.4291684 6.9000277 0 0 2.353219 0.5
23.497416 20.061685 -2.8786932e-15 -4.729791e-15 1.672869 0.5
1.0862021 10.282807 0 0 4.21507 0.5
12.3503 1.8134553 0 0 0.4829 0.5
10.091063 25.621142 0 0 6.274711 0.5
22.789223 8.8605947 0 0 1.301021 0.5
14.47761 0.5912646 0 0 3.538852 0.5
4.7895907 5.6591826 0 0 1.72413 0.5
22.289232 24.536901 1.4549159e-15 -5.5557536e-15 0.779811 0.5
5.1647102 22.812212 0 0 1.209651 0.5
7.0453388 23.027922 0 0 5.377079 0.5
19.276571 25.236568 -1.5092893e-14 -1.332704e-14 3.122843 0.5
5.5293069 17.799133 0 0 4.105439 0.5
4.5964507 9.6772402 0 0 2.246795 0.5
3.7078359 5.3592691 0 0 3.468535 0.5
20.264468 24.690943 -8.3034496e-15 -6.8525477e-15 5.532293 0.5
2.6680652 13.528146 0 0 0.531572 0.5
4.4109102 17.965445 0 0 5.261584 0.5
24.675076 5.8686317 0 0 0.040113 0.5
4.7370191 15.297675 0 0 4.576591 0.5
8.1514885 23.358315 0 0 0.209824 0.5
24.524941 18.060785 -2.2876099e-15 -4.4626727e-15 1.770879 0.5
26.899129 10.245764 0 0 4.791815 0.5
25.952873 7.9320917 0 0 2.522673 0.5
24.035327 19.074467 -1.037916e-14 8.7066037e-16 3.232151 0.5
4.3551991 19.968912 0 0 0.943125 0.5
22.26468 18.032265 -9.8988639e-15 -5.1288326e-16 1.031271 0.5
1.8848042 8.1856755 0 0 1.523797 0.5
22.36682 20.15865 -4.2830421e-15 3.4044735e-16 1.787492 0.5
5.6686102 7.7258301 0 0 3.056837 0.5
3.0851098 16.893116 0 0 3.332967 0.5
9.0545678 17.090162 0 0 3.889918 0.5
16.426456 27.139055 -3.0231638e-14 1.5915387e-14 1.775857 0.5
26.056746 10.989272 -8.0371333e-16 -5.9954783e-15 4.33857 0.5
0.64593721 12.49689 0 0 2.652322 0.5
23.88258 10.892691 0 0 1.360759 0.5
11.394239 3.0486886 0 0 1.350476 0.5
4.0981422 6.5704889 0 0 3.139709 0.5
11.390986 0.81712943 0 0 3.877928 0.5
6.0245358 23.536295 0 0 4.111005 0.5
22.90708 19.102065 -6.8667641e-15 6.939078e-16 4.354529 0.5
3.0221415 6.2498076 0 0 1.958136 0.5
27.16845 11.34149 0 0 1.935129 0.5
7.9037809 19.948848 0 0 0.983243 0.5
2.1344503 20.304433 0 0 4.524452 0.5
8.3590552 6.7397923 0 0 4.628506 0.5
13.131102 7.5442538 0 0 4.619789 0.5
5.055852 11.952985 0 0 6.246698 0.5
6.4191792 4.1220497 0 0 2.597917 0.5
19.067682 1.554906 0 0 5.540445 0.5
1.709009 12.064594 0 0 1.135786 0.5
3.8768932 18.953056 0 0 0.649744 0.5
2.7410979 15.817418 0 0 4.647872 0.5
9.2343009 1.4346466 0 0 3.116928 0.5
20.468735 18.771579 0 0 1.058365 0.5
3.9673892 16.191688 0 0 1.223223 0.5
7.2100975 2.4027004 0 0 6.185729 0.5
5.3410083 3.7231651 0 0 5.03693 0.5
6.1272243 18.881263 0 0 0.158334 0.5
1.9720239 10.973013 0 0 0.09489 0.5
23.395184 18.090356 -8.0997841e-15 -3.1381388e-15 3.182579 0.5
4.4953451 7.6242163 0 0 5.999337 0.5
10.12364 24.466158 0 0 0.712677 0.5
24.337853 14.315724 -8.8386076e-15 -4.3275664e-15 1.70588 0.5
1.905471 16.572788 0 0 5.092516 0.5
1.2487881 18.240975 0 0 0.506989 0.5
8.8003562 4.0207989 0 0 4.452103 0.5
27.350646 12.477633 -3.1802417e-15 -4.4752336e-15 3.429354 0.5
5.6480276 21.79822 0 0 5.942963 0.5
5.7637448 9.4751703 0 0 2.062723 0.5
21.213003 24.090453 -7.3810663e-15 3.9799937e-15 2.598321 0.5
5.2238039 6.6946296 0 0 6.159219 0.5
22.521478 6.5869038 0 0 1.488917 0.5
0.72087548 16.059247 0 0 1.927238 0.5
26.367656 14.328257 -3.7426313e-15 3.6979014e-15 3.98558 0.5
6.9386497 24.197196 0 0 3.515453 0.5
26.380432 13.20539 0 -3.3789753e-15 3.362574 0.5
11.628947 26.217672 0 0 2.617045 0.5
23.694597 7.9491779 0 0 4.416501 0.5
24.66487 10.029306 0 0 2.357123 0.5
17.538237 26.906462 -1.1065397e-14 -2.1702962e-14 0.027213 0.5
26.298099 12.085709 -4.9010183e-15 -3.3284567e-15 3.270335 0.5
6.7557921 10.017187 0 0 5.133302 0.5
3.9412799 11.819715 0 0 4.163048 0.5
16.679147 2.9705727 0 0 3.93618 0.5
15.292793 10.366805 0 0 5.951127 0.5
24.899728 17.00256 2.414204e-15 -2.6937858e-15 4.082451 0.5
12.528047 2.9667496 0 0 1.780305 0.5
26.473179 9.0044911 0 0 2.847882 0.5
14.923439 1.6397508 0 0 1.767937 0.5
0.56893034 13.64883 0 0 0.00135 0.5
6.7322482 19.828988 0 0 5.312468 0.5
23.712334 15.255603 0 0 0.320289 0.5
11.146853 25.177079 0 0 0.581132 0.5
8.9897405 25.24294 0 0 3.087421 0.5
9.4722629 3.1026292 0 0 3.560403 0.5
3.3744676 7.7801076 0 0 0.555117 0.5
0.93885827 17.162021 0 0 6.220608 0.5
9.7904446 26.71344 0 0 5.652715 0.5
22.255988 3.4016105 0 0 0.827952 0.5
9.3675004 5.6134073 0 0 1.054048 0.5
6.6916393 17.902568 0 0 0.319962 0.5
6.7645355 21.929267 0 0 2.464344 0.5
21.340359 25.255865 1.7886326e-15 -1.0221062e-15 3.780782 0.5
23.386273 9.8569175 0 0 0.745414 0.5
26.435818 19.090386 -1.5051096e-15 -2.4666707e-15 3.348875 0.5
8.7398147 21.069342 0 0 5.365761 0.5
4.1958627 10.726243 0 0 0.445642 0.5
3.2783262 18.003481 0 0 2.979068 0.5
23.123834 4.14515 0 0 2.813895 0.5
1.6474229 19.292214 0 0 4.039246 0.5
20.355315 25.81558 5.2436097e-16 4.1533894e-15 4.602055 0.5
27.432559 13.601981 -7.8205731e-16 -5.3508944e-15 1.676583 0.5
9.0470985 24.103248 0 0 1.207935 0.5
12.15562 17.213253 0 0 6.164191 0.5
13.488928 1.2032425 0 0 1.491784 0.5
12.504093 0.6623211 0 0 6.269379 0.5
24.378921 13.113128 -7.7975228e-15 7.1738106e-15 0.35856 0.5
3.5902603 12.886325 0 0 0.326238 0.5
25.727163 17.761314 -6.4571784e-15 -8.0786858e-15 1.608548 0.5
10.484274 5.729308 0 0 2.616667 0.5
22.906133 22.603221 -4.2997377e-15 1.6921875e-15 0.410672 0.5
8.3553057 2.9895149 0 0 3.210668 0.5
19.237425 26.365654 5.3461567e-15 1.5776044e-15 0.309541 0.5
8.2423734 5.5819111 0 0 1.761874 0.5
16.900889 0.89790873 0 0 4.731547 0.5
8.0558878 22.026852 0 0 0.313065 0.5
24.858748 19.860839 -4.9917976e-15 -2.7760178e-15 0.087229 0.5
10.86985 27.047515 0 0 5.713071 0.5
21.970727 16.845427 0 0 0.34983 0.5
1.6701485 15.455688 0 0 2.015368 0.5
3.8901537 8.8026888 0 0 0.42176 0.5
22.72508 15.936987 0 0 5.580866 0.5
6.8635544 5.1533673 0 0 4.066321 0.5
7.3878853 18.868518 0 0 5.863794 0.5
1.52567 14.302783 0 0 5.355125 0.5
13.459583 13.945691 0 0 5.404824 0.5
5.0070268 18.966598 0 0 1.361005 0.5
5.0027821 8.6302511 0 0 5.19755 0.5
11.997734 27.288234 0 0 5.853071 0.5
2.5911412 14.658193 0 0 2.830697 0.5
25.791687 9.8981046 1.1837773e-15 -8.9513756e-15 3.251414 0.5
2.7488961 19.029895 0 0 3.305262 0.5
5.3294038 10.556728 0 0 3.841898 0.5
17.522714 2.2078915 0 0 4.917041 0.5
24.308515 20.844033 -3.4032344e-15 2.8225371e-15 1.726803 0.5
27.110731 16.951039 -1.4001394e-15 9.5600994e-16 2.534849 0.5
4.9311144 23.914633 0 0 1.985571 0.5
24.820822 7.8712761 -4.4770639e-15 -8.8318261e-15 5.636684 0.5
23.940331 4.9730754 0 0 0.642493 0.5
11.220765 1.9367155 0 0 5.796573 0.5
25.028347 15.887385 -3.530409e-15 -2.673141e-15 4.738871 0.5
7.443258 7.3898434 0 0 1.568073 0.5
18.864616 2.672538 0 0 2.749741 0.5
1.5935842 13.181831 0 0 1.171823 0.5
23.649198 21.756423 -5.8974493e-15 -2.5138059e-15 2.226958 0.5
6.2551099 20.851025 0 0 1.548545 0.5
10.845526 23.590105 0 0 3.653333 0.5
21.487823 20.868466 0 0 4.394256 0.5
15.786525 0.74915849 0 0 0.605652 0.5
25.353652 14.811378 -5.6543582e-15 -5.6910473e-15 3.106146 0.5
0.59430045 14.936374 0 0 3.095002 0.5
27.419085 14.724658 -4.6879424e-15 -1.2777835e-15 1.841384 0.5
21.886093 4.5198431 0 0 6.034028 0.5
12.778603 26.138201 0 0 1.857551 0.5
4.068018 23.052485 0 0 1.702664 0.5
24.773162 22.013845 -6.9436437e-15 3.3127456e-15 1.16125 0.5
3.3467066 22.191886 0 0 4.720586 0.5
4.7071281 13.037696 0 0 0.205718 0.5
7.2979076 6.1885338 0 0 5.820667 0.5
3.8089507 21.020435 0 0 3.894129 0.5
2.329481 9.9088748 0 0 3.074393 0.5
18.194926 7.9421873 0 0 0.467747 0.5
22.53668 5.4430117 0 0 5.60533 0.5
20.693049 23.071497 0 0 6.227367 0.5
17.996096 1.1815131 0 0 5.177094 0.5
27.31155 15.843873 3.8842243e-16 -4.4090162e-15 0.203779 0.5
5.808827 24.648357 0 0 6.095105 0.5
15.238981 27.041749 -5.2402656e-14 -2.6248842e-15 5.150288 0.5
0.82171396 11.376795 0 0 3.059892 0.5
8.7257012 26.353152 0 0 3.692189 0.5
4.8212032 14.158105 0 0 3.246869 0.5
25.968309 20.111588 1.1499401e-16 -1.1901208e-15 2.032293 0.5
2.4129863 7.1933679 0 0 6.136396 0.5
16.119582 4.1140512 0 0 4.563161 0.5
8.0685418 15.789449 0 0 5.916686 0.5
6.0541436 11.435065 0 0 1.344992 0.5
24.010898 22.941956 2.73638e-15 -6.1295868e-15 3.633442 0.5
26.209398 15.54933 1.2544161e-14 -1.2589794e-14 2.78777 0.5
24.961722 11.253381 -1.2180644e-15 -5.4377731e-15 1.483056 0.5
22.626921 21.281749 0 0 0.879468 0.5
25.329096 8.8730113 -2.8969945e-15 -7.5815938e-15 4.923104 0.5
25.360308 13.674978 -1.4054225e-14 -7.2913498e-15 5.350229 0.5
5.5529111 19.951051 0 0 1.508644 0.5
4.8222123 16.92036 0 0 4.32761 0.5
24.197687 8.9850604 0 0 1.3724 0.5
16.333231 1.8675451 0 0 2.64206 0.5
11.873348 4.0774794 0 0 2.466218 0.5
5.9087916 13.87754 0 0 0.69625 0.5
21.679984 22.272562 0 0 0.502972 0.5
4.939022 20.927702 0 0 4.066135 0.5
10.29965 1.0810522 0 0 3.026607 0.5
21.138018 2.6427661 0 0 6.171553 0.5
9.7807095 4.5675854 0 0 3.767955 0.5
25.398192 6.8845204 0 0 5.349705 0.5
5.5482441 4.8312014 0 0 3.28374 0.5
