#Time_ID TotSimulTime simStepsBetweenFrames simTimeStep CPUTimeForFrame hostname
0 0.00000000 0 0.0 0.0 hostname
1 200.00000000 2000000 0.00010000 0.51867148 Mac
2 400.00000000 2000000 0.00010000 0.53116390 Mac
3 600.00000000 2000000 0.00010000 0.51849372 Mac
4 800.00000000 2000000 0.00010000 0.52104602 Mac
5 1000.00000000 2000000 0.00010000 0.52401517 Mac
6 1200.00000000 2000000 0.00010000 0.51688438 Mac
7 1400.00000000 2000000 0.00010000 0.51988557 Mac
8 1600.00000000 2000000 0.00010000 0.52229023 Mac
9 1800.00000000 2000000 0.00010000 0.52260970 Mac
10 2000.00000000 2000000 0.00010000 0.52331168 Mac
11 2200.00000000 2000000 0.00010000 0.51992338 Mac
12 2400.00000000 2000000 0.00010000 0.51747108 Mac
13 2600.00000000 2000000 0.00010000 0.52247177 Mac
14 2800.00000000 2000000 0.00010000 0.53197663 Mac
15 3000.00000000 2000000 0.00010000 0.52062952 Mac
16 3200.00000000 2000000 0.00010000 0.54349990 Mac
17 3400.00000000 2000000 0.00010000 0.52116765 Mac
18 3600.00000000 2000000 0.00010000 0.52662542 Mac
19 3800.00000000 2000000 0.00010000 0.52426727 Mac
20 4000.00000000 2000000 0.00010000 0.52326743 Mac
21 4200.00000000 2000000 0.00010000 0.51981255 Mac
22 4400.00000000 2000000 0.00010000 0.52442925 Mac
23 4600.00000000 2000000 0.00010000 0.51975760 Mac
24 4800.00000000 2000000 0.00010000 0.51655238 Mac
25 5000.00000000 2000000 0.00010000 0.52101298 Mac
26 5200.00000000 2000000 0.00010000 0.51877862 Mac
27 5400.00000000 2000000 0.00010000 0.51666143 Mac
28 5600.00000000 2000000 0.00010000 0.51691040 Mac
29 5800.00000000 2000000 0.00010000 0.52620928 Mac
30 6000.00000000 2000000 0.00010000 0.51987662 Mac
31 6200.00000000 2000000 0.00010000 0.52243778 Mac
32 6400.00000000 2000000 0.00010000 0.52093405 Mac
33 6600.00000000 2000000 0.00010000 0.51519017 Mac
34 6800.00000000 2000000 0.00010000 0.52026773 Mac
35 7000.00000000 2000000 0.00010000 0.52037307 Mac
36 7200.00000000 2000000 0.00010000 0.53386435 Mac
37 7400.00000000 2000000 0.00010000 0.51997792 Mac
38 7600.00000000 2000000 0.00010000 0.52110870 Mac
39 7800.00000000 2000000 0.00010000 0.52452950 Mac
40 8000.00000000 2000000 0.00010000 0.52291758 Mac
41 8200.00000000 2000000 0.00010000 0.52555008 Mac
42 8400.00000000 2000000 0.00010000 0.52568588 Mac
43 8600.00000000 2000000 0.00010000 0.53477768 Mac
44 8800.00000000 2000000 0.00010000 0.53126255 Mac
45 9000.00000000 2000000 0.00010000 0.51882545 Mac
46 9200.00000000 2000000 0.00010000 0.53085177 Mac
47 9400.00000000 2000000 0.00010000 0.52879188 Mac
48 9600.00000000 2000000 0.00010000 0.52184372 Mac
49 9800.00000000 2000000 0.00010000 0.51820655 Mac
50 10000.00000000 2000000 0.00010000 0.51771638 Mac
51 10200.00000000 2000000 0.00010000 0.51893330 Mac
52 10400.00000000 2000000 0.00010000 0.52497370 Mac
53 10600.00000000 2000000 0.00010000 0.52120250 Mac
54 10800.00000000 2000000 0.00010000 0.51552483 Mac
55 11000.00000000 2000000 0.00010000 0.52563630 Mac
56 11200.00000000 2000000 0.00010000 0.52148897 Mac
57 11400.00000000 2000000 0.00010000 0.51999460 Mac
58 11600.00000000 2000000 0.00010000 0.52058637 Mac
59 11800.00000000 2000000 0.00010000 0.52088422 Mac
60 12000.00000000 2000000 0.00010000 0.52277512 Mac
61 12200.00000000 2000000 0.00010000 0.51816460 Mac
62 12400.00000000 2000000 0.00010000 0.52079555 Mac
63 12600.00000000 2000000 0.00010000 0.52054992 Mac
64 12800.00000000 2000000 0.00010000 0.51762187 Mac
65 13000.00000000 2000000 0.00010000 0.52157295 Mac
66 13200.00000000 2000000 0.00010000 0.52180442 Mac
67 13400.00000000 2000000 0.00010000 0.51698522 Mac
68 13600.00000000 2000000 0.00010000 0.51835923 Mac
69 13800.00000000 2000000 0.00010000 0.51505178 Mac
70 14000.00000000 2000000 0.00010000 0.52352522 Mac
71 14200.00000000 2000000 0.00010000 0.51705795 Mac
72 14400.00000000 2000000 0.00010000 0.52213990 Mac
73 14600.00000000 2000000 0.00010000 0.51789523 Mac
74 14800.00000000 2000000 0.00010000 0.51886442 Mac
75 15000.00000000 2000000 0.00010000 0.52192727 Mac
76 15200.00000000 2000000 0.00010000 0.51719952 Mac
77 15400.00000000 2000000 0.00010000 0.51549592 Mac
78 15600.00000000 2000000 0.00010000 0.52055998 Mac
79 15800.00000000 2000000 0.00010000 0.51800292 Mac
80 16000.00000000 2000000 0.00010000 0.51747425 Mac
81 16200.00000000 2000000 0.00010000 0.51801573 Mac
82 16400.00000000 2000000 0.00010000 0.52341303 Mac
83 16600.00000000 2000000 0.00010000 0.51024433 Mac
84 16800.00000000 2000000 0.00010000 0.51788445 Mac
85 17000.00000000 2000000 0.00010000 0.52074280 Mac
86 17200.00000000 2000000 0.00010000 0.52040308 Mac
87 17400.00000000 2000000 0.00010000 0.52284255 Mac
88 17600.00000000 2000000 0.00010000 0.51795342 Mac
89 17800.00000000 2000000 0.00010000 0.51971540 Mac
90 18000.00000000 2000000 0.00010000 0.51103900 Mac
91 18200.00000000 2000000 0.00010000 0.51451088 Mac
92 18400.00000000 2000000 0.00010000 0.51790478 Mac
93 18600.00000000 2000000 0.00010000 0.51580072 Mac
94 18800.00000000 2000000 0.00010000 0.52548358 Mac
95 19000.00000000 2000000 0.00010000 0.51923810 Mac
96 19200.00000000 2000000 0.00010000 0.51483105 Mac
97 19400.00000000 2000000 0.00010000 0.52085032 Mac
98 19600.00000000 2000000 0.00010000 0.51746892 Mac
99 19800.00000000 2000000 0.00010000 0.52000983 Mac
100 20000.00000000 2000000 0.00010000 0.51955903 Mac
101 20200.00000000 2000000 0.00010000 0.51753575 Mac
102 20400.00000000 2000000 0.00010000 0.51261632 Mac
103 20600.00000000 2000000 0.00010000 0.51103448 Mac
104 20800.00000000 2000000 0.00010000 0.51570843 Mac
105 21000.00000000 2000000 0.00010000 0.51720682 Mac
106 21200.00000000 2000000 0.00010000 0.51807322 Mac
107 21400.00000000 2000000 0.00010000 0.51473092 Mac
108 21600.00000000 2000000 0.00010000 0.51651902 Mac
109 21800.00000000 2000000 0.00010000 0.51600333 Mac
110 22000.00000000 2000000 0.00010000 0.51605570 Mac
111 22200.00000000 2000000 0.00010000 0.51905072 Mac
112 22400.00000000 2000000 0.00010000 0.51632660 Mac
113 22600.00000000 2000000 0.00010000 0.51393995 Mac
114 22800.00000000 2000000 0.00010000 0.51062192 Mac
115 23000.00000000 2000000 0.00010000 0.51619407 Mac
116 23200.00000000 2000000 0.00010000 0.51266357 Mac
117 23400.00000000 2000000 0.00010000 0.51570358 Mac
118 23600.00000000 2000000 0.00010000 0.51659157 Mac
119 23800.00000000 2000000 0.00010000 0.51230718 Mac
120 24000.00000000 2000000 0.00010000 0.52108823 Mac
121 24200.00000000 2000000 0.00010000 0.51913725 Mac
122 24400.00000000 2000000 0.00010000 0.52277242 Mac
123 24600.00000000 2000000 0.00010000 0.52416060 Mac
124 24800.00000000 2000000 0.00010000 0.51896732 Mac
125 25000.00000000 2000000 0.00010000 0.51038827 Mac
126 25200.00000000 2000000 0.00010000 0.51362958 Mac
127 25400.00000000 2000000 0.00010000 0.51621953 Mac
128 25600.00000000 2000000 0.00010000 0.51498288 Mac
129 25800.00000000 2000000 0.00010000 0.52112285 Mac
130 26000.00000000 2000000 0.00010000 0.51318425 Mac
