# x y vx vy theta radius
19.589116 11.783279 0.44502134 0.59660825 1.2596975 0.5
21.009489 24.19347 0 0 1.764168 0.5
3.7109406 22.64468 0 0 3.951996 0.5
3.9742177 16.672508 0 0 4.259518 0.5
0.97434888 10.694147 0 0 1.882067 0.5
25.370259 16.79859 0 0 0.92276 0.5
23.575649 7.9749174 0 0 4.981497 0.5
16.364456 10.684051 -1.2404148e-05 -6.7641086e-06 0.663689 0.5
2.7626837 12.697862 0 0 4.599871 0.5
5.0109332 9.0728795 0 0 3.315122 0.5
26.166054 15.994756 0 0 5.224588 0.5
21.145017 2.6276302 -2.6984092e-13 4.8615348e-15 4.739779 0.5
21.731118 7.0689882 0 0 0.624425 0.5
23.11175 20.569681 0 0 0.734434 0.5
25.279168 18.967464 0 0 4.989084 0.5
11.322488 26.139991 0 0 2.508867 0.5
20.116934 2.169259 3.7578076e-15 4.8342692e-14 5.939565 0.5
2.5057058 18.856897 0 0 0.028815 0.5
6.7479986 2.6860846 0 0 3.449449 0.5
11.435202 0.8085725 -5.7744908e-13 8.3010519e-14 0.592282 0.5
3.6246775 20.805635 0 0 6.045768 0.5
3.5751955 15.506287 0 0 0.890473 0.5
4.8972694 12.367719 0 0 2.353219 0.5
24.170876 20.946373 0 0 1.672869 0.5
0.74378487 11.792998 0 0 4.21507 0.5
15.86533 1.8696604 0 0 0.4829 0.5
9.3970127 24.48428 0 0 6.274711 0.5
13.599742 1.7129655 0 0 1.301021 0.5
17.008992 0.92034536 3.8980638e-14 -2.1421709e-14 3.538852 0.5
4.1422702 6.8436693 0 0 1.72413 0.5
21.092951 25.377343 -2.4771775e-12 1.6974419e-12 0.779811 0.5
6.2414664 23.618998 0 0 1.209651 0.5
7.3495243 23.200836 0 0 5.377079 0.5
15.792893 26.180114 0 0 3.122843 0.5
5.0885098 16.820136 0 0 4.105439 0.5
4.1244457 11.145397 0 0 2.246795 0.5
2.7799217 6.6034335 0 0 3.468535 0.5
12.429947 16.429644 0 0 5.532293 0.5
2.6670314 13.821066 0 0 0.531572 0.5
4.7236951 18.801227 0 0 5.261584 0.5
24.606671 5.8019296 -1.8830096e-13 -3.7712524e-13 0.040113 0.5
7.0771743 14.061187 0 0 4.576591 0.5
8.4107574 22.730707 0 0 0.209824 0.5
22.214985 16.367092 0 0 1.770879 0.5
26.534598 9.7903211 -3.3082466e-13 -3.3630443e-13 4.791815 0.5
25.807929 7.692435 -1.7490926e-13 -3.1266855e-13 2.522673 0.5
24.767074 19.969357 0 0 3.232151 0.5
4.7438922 20.905085 0 0 0.943125 0.5
12.162536 19.400211 0 0 1.031271 0.5
1.2957345 9.6185399 0 0 1.523797 0.5
18.983129 23.045988 0 0 1.787492 0.5
4.0769511 8.4465914 0 0 3.056837 0.5
3.2396779 17.541678 0 0 3.332967 0.5
5.7459862 15.447389 0 0 3.889918 0.5
13.857382 27.399559 0 0 1.775857 0.5
25.635956 10.479628 -7.0243791e-14 3.4099814e-13 4.33857 0.5
0.56773894 14.030484 0 0 2.652322 0.5
24.55179 10.172964 -2.7775213e-13 -7.7114102e-14 1.360759 0.5
13.666519 0.56750641 4.0584952e-14 -4.7271506e-14 1.350476 0.5
3.3233937 7.6120621 0 0 3.139709 0.5
14.789099 0.58655401 4.1203142e-14 -4.2933129e-14 3.877928 0.5
7.1370727 24.311278 0 0 4.111005 0.5
20.611544 22.656108 0 0 4.354529 0.5
2.2017937 7.5661122 0 0 1.958136 0.5
27.044219 10.791167 -1.5735063e-13 -1.3438578e-13 1.935129 0.5
8.3652414 21.274463 0 0 0.983243 0.5
3.0253431 21.755649 0 0 4.524452 0.5
14.136526 2.7186152 0 0 4.628506 0.5
7.0248523 11.220373 0 0 4.619789 0.5
3.7771849 12.215309 0 0 6.246698 0.5
5.4815048 5.0798755 0 0 2.597917 0.5
19.122512 2.7186557 -9.0783103e-14 3.0039401e-13 5.540445 0.5
1.6983759 13.1902 0 0 1.135786 0.5
4.1289964 19.758696 0 0 0.649744 0.5
2.8834193 16.392264 0 0 4.647872 0.5
8.7338149 1.636028 0 0 3.116928 0.5
20.062372 7.348372 1.0735827e-13 2.0093489e-13 1.058365 0.5
4.3462339 17.738775 0 0 1.223223 0.5
5.8292312 3.3310032 0 0 6.185729 0.5
4.1674077 4.8393343 0 0 5.03693 0.5
6.8830522 19.790262 0 0 0.158334 0.5
1.8378426 12.06086 0 0 0.09489 0.5
24.544399 17.740212 0 0 3.182579 0.5
5.625274 10.229987 0 0 5.999337 0.5
20.53157 20.423497 0 0 0.712677 0.5
20.05647 15.958001 0 0 1.70588 0.5
2.1434524 17.784417 0 0 5.092516 0.5
1.8817703 19.800868 0 0 0.506989 0.5
9.785602 1.2408816 0 0 4.452103 0.5
27.270832 11.890605 -7.6176907e-14 -3.2301106e-13 3.429354 0.5
6.4734743 22.484795 0 0 5.942963 0.5
7.7062654 13.129039 0 0 2.062723 0.5
20.062235 24.800182 0 0 2.598321 0.5
5.4371157 6.6899744 0 0 6.159219 0.5
20.692852 6.2740079 -8.0338941e-13 -6.6263191e-14 1.488917 0.5
1.0434563 17.542313 0 0 1.927238 0.5
23.02622 9.4442049 0 0 3.98558 0.5
8.2778172 23.845542 0 0 3.515453 0.5
26.305927 12.632351 0 0 3.362574 0.5
10.859034 23.512947 0 0 2.617045 0.5
21.880618 4.3996102 -2.8231033e-14 2.8691153e-13 4.416501 0.5
22.894857 7.0448639 -2.9917693e-13 5.2932216e-13 2.357123 0.5
15.392448 27.31174 0 0 0.027213 0.5
26.141084 11.484239 0 0 3.270335 0.5
6.2527787 13.246597 0 0 5.133302 0.5
4.7638932 14.557847 0 0 4.163048 0.5
8.2270596 3.150044 0 0 3.93618 0.5
7.0087809 8.052845 0 0 5.951127 0.5
26.652048 18.52931 -2.7922655e-13 -1.5407075e-13 4.082451 0.5
17.877058 3.4768948 -2.0521404e-13 -1.3307703e-13 1.780305 0.5
26.332515 8.6851065 -1.7474962e-13 6.3022736e-15 2.847882 0.5
19.886978 4.727103 0 0 1.767937 0.5
0.61640529 15.151976 0 0 0.00135 0.5
7.1697421 20.98512 0 0 5.312468 0.5
19.630771 22.069811 0 0 0.320289 0.5
